Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_SerialRemoval_5,500,[],"[999, 1999]",,00:31:21
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalRemoval_5,200,"[855, 1957]","[999, 1999]",1.0,00:23:22
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalRemoval_5,200,[],"[999, 1999]",,00:22:09
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Frequency_5,300,[1963],"[999, 1999]",0.6666666666666666,00:13:33
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Frequency_5,300,[],"[999, 1999]",,00:14:33
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalToSequence_5,500,"[922, 1972]","[999, 1999]",1.0,00:30:49
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalToSequence_5,500,[],"[999, 1999]",,00:31:12
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalRemoval_5,600,"[600, 1905]","[999, 1999]",0.5,00:31:58
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalRemoval_5,600,[],"[999, 1999]",,00:33:25
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelMove_5,200,[],"[999, 1999]",,00:22:52
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelMove_5,200,[],"[999, 1999]",,00:22:26
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Swap_5,500,[],"[999, 1999]",,00:27:45
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Swap_5,500,[],"[999, 1999]",,00:28:46
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelMove_5,300,[],"[999, 1999]",,00:26:04
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelMove_5,300,[],"[999, 1999]",,00:28:02
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_SerialMove_5,100,[2603],"[999, 1999]",,00:19:04
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_SerialMove_5,100,[],"[999, 1999]",,00:15:56
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Frequency_5,500,[1754],"[999, 1999]",,00:15:28
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Frequency_5,500,[],"[999, 1999]",,00:16:04
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalMove_5,200,"[471, 906, 1927]","[999, 1999]",0.8,00:24:52
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalMove_5,200,[],"[999, 1999]",,00:24:06
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Loop_5,300,"[855, 1880]","[999, 1999]",1.0,00:25:17
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Loop_5,300,[],"[999, 1999]",,00:26:36
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelRemoval_5,300,"[771, 2019]","[999, 1999]",0.5,00:27:47
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelRemoval_5,300,[],"[999, 1999]",,00:28:13
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalRemoval_5,300,"[826, 1865]","[999, 1999]",1.0,00:27:10
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalRemoval_5,300,[],"[999, 1999]",,00:27:45
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Substitute_5,500,"[947, 1735]","[999, 1999]",0.5,00:34:20
