Algorithm/Options,Log,Window Size,Max Adaptive Window,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Process Graph Metrics,Atomic_Size2_Substitute_5,100,200,[987],"[999, 1999]",0.6666666666666666,00:00:54
Process Graph Metrics,Atomic_Size2_Swap_5,500,1000,[],"[999, 1999]",,00:00:13
Process Graph Metrics,Atomic_Size2_Swap_5,300,600,[],"[999, 1999]",,00:00:13
Process Graph Metrics,Atomic_Size2_SerialRemoval_5,400,800,"[968, 2121]","[999, 1999]",1.0,00:01:28
Process Graph Metrics,Atomic_Size2_Loop_5,500,1000,"[1064, 2167]","[999, 1999]",1.0,00:01:00
Process Graph Metrics,Atomic_Size2_ParallelMove_5,300,600,"[926, 1946]","[999, 1999]",1.0,00:00:17
Process Graph Metrics,Atomic_Size2_ParallelRemoval_5,300,600,"[1044, 2063]","[999, 1999]",1.0,00:00:24
Process Graph Metrics,Atomic_Size2_Substitute_5,400,800,"[1119, 2157]","[999, 1999]",1.0,00:00:31
Process Graph Metrics,Atomic_Size2_Frequency_5,600,1200,"[1014, 2109]","[999, 1999]",1.0,00:00:22
Process Graph Metrics,Atomic_Size2_ConditionalRemoval_5,600,1200,"[1086, 2056]","[999, 1999]",1.0,00:00:59
Process Graph Metrics,Atomic_Size2_Loop_5,100,200,[1967],"[999, 1999]",0.6666666666666666,00:00:18
