Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Bose Average J,Atomic_Size2_ParallelRemoval,600,"[873, 1946]","[999, 1999]",1.0,00:23:40
Bose Average WC,Atomic_Size2_ParallelRemoval,600,[1559],"[999, 1999]",,00:20:50
Bose Average J,Atomic_Size2_ParallelMove,200,"[477, 1652, 2342]","[999, 1999]",,00:17:26
Bose Average WC,Atomic_Size2_ParallelMove,200,[],"[999, 1999]",,00:15:02
Bose Average J,Atomic_Size2_Frequency,300,"[366, 723, 1169, 1853]","[999, 1999]",0.6666666666666666,00:13:38
Bose Average WC,Atomic_Size2_Frequency,300,"[941, 1829]","[999, 1999]",1.0,00:16:38
Bose Average J,Atomic_Size2_ConditionalToSequence,100,"[955, 1954]","[999, 1999]",1.0,00:14:43
Bose Average WC,Atomic_Size2_ConditionalToSequence,100,"[898, 1904]","[999, 1999]",1.0,00:12:02
Bose Average J,Atomic_Size2_Swap,200,"[687, 940, 1922]","[999, 1999]",0.8,00:16:11
Bose Average WC,Atomic_Size2_Swap,200,[1892],"[999, 1999]",0.6666666666666666,00:13:36
Bose Average J,Atomic_Size2_Frequency,500,[1730],"[999, 1999]",,00:15:26
Bose Average WC,Atomic_Size2_Frequency,500,[1745],"[999, 1999]",,00:18:52
Bose Average J,Atomic_Size2_ConditionalMove,500,"[958, 1915]","[999, 1999]",1.0,00:24:46
Bose Average WC,Atomic_Size2_ConditionalMove,500,[1264],"[999, 1999]",,00:21:13
Bose Average J,Atomic_Size2_Substitute,500,"[982, 1961]","[999, 1999]",1.0,00:26:14
Bose Average WC,Atomic_Size2_Substitute,500,[982],"[999, 1999]",0.6666666666666666,00:22:13
Bose Average J,Atomic_Size2_ConditionalToSequence,600,"[955, 1955]","[999, 1999]",1.0,00:24:22
Bose Average WC,Atomic_Size2_ConditionalToSequence,600,[],"[999, 1999]",,00:21:34
Bose Average J,Atomic_Size2_Frequency,100,[379],"[999, 1999]",,00:09:19
Bose Average WC,Atomic_Size2_Frequency,100,[919],"[999, 1999]",0.6666666666666666,00:08:40
Bose Average J,Atomic_Size2_Skip,100,[],"[999, 1999]",,00:14:36
Bose Average WC,Atomic_Size2_Skip,100,[],"[999, 1999]",,00:12:10
Bose Average J,Atomic_Size2_ParallelRemoval,500,"[935, 1945]","[999, 1999]",1.0,00:23:45
Bose Average WC,Atomic_Size2_ParallelRemoval,500,[956],"[999, 1999]",0.6666666666666666,00:20:05
Bose Average J,Atomic_Size2_ParallelRemoval,200,"[242, 981, 1983, 2604]","[999, 1999]",0.6666666666666666,00:17:20
Bose Average WC,Atomic_Size2_ParallelRemoval,200,"[253, 1041]","[999, 1999]",0.5,00:14:59
Bose Average J,Atomic_Size2_Loop,500,"[1071, 2161]","[999, 1999]",1.0,00:21:25
Bose Average WC,Atomic_Size2_Loop,500,[2208],"[999, 1999]",,00:18:21
Bose Average J,Atomic_Size2_ParallelMove,600,"[1148, 1898]","[999, 1999]",1.0,00:24:26
Bose Average WC,Atomic_Size2_ParallelMove,600,[],"[999, 1999]",,00:22:14
Bose Average J,Atomic_Size2_Loop,400,"[948, 1919]","[999, 1999]",1.0,00:20:21
Bose Average WC,Atomic_Size2_Loop,400,[],"[999, 1999]",,00:18:22
Bose Average J,Atomic_Size2_ParallelRemoval,100,[],"[999, 1999]",,00:14:30
Bose Average WC,Atomic_Size2_ParallelRemoval,100,[],"[999, 1999]",,00:12:07
Bose Average J,Atomic_Size2_Substitute,400,"[955, 1904]","[999, 1999]",1.0,00:24:35
Bose Average WC,Atomic_Size2_Substitute,400,"[1039, 1893]","[999, 1999]",1.0,00:21:48
Bose Average J,Atomic_Size2_Loop,100,[1908],"[999, 1999]",0.6666666666666666,00:13:14
Bose Average WC,Atomic_Size2_Loop,100,[],"[999, 1999]",,00:11:02
Bose Average J,Atomic_Size2_ConditionalMove,300,"[958, 1949]","[999, 1999]",1.0,00:21:17
Bose Average WC,Atomic_Size2_ConditionalMove,300,"[748, 2058]","[999, 1999]",0.5,00:18:36
Bose Average J,Atomic_Size2_ConditionalRemoval,600,"[747, 1512, 2079]","[999, 1999]",0.4,00:24:25
Bose Average WC,Atomic_Size2_ConditionalRemoval,600,[],"[999, 1999]",,00:21:46
Bose Average J,Atomic_Size2_Frequency,600,"[1169, 1774]","[999, 1999]",0.5,00:17:04
Bose Average WC,Atomic_Size2_Frequency,600,[],"[999, 1999]",,00:20:53
Bose Average J,Atomic_Size2_Skip,500,"[1043, 1844]","[999, 1999]",1.0,00:23:17
Bose Average WC,Atomic_Size2_Skip,500,[],"[999, 1999]",,00:20:00
Bose Average J,Atomic_Size2_ParallelToSequence,500,"[1385, 1937, 2250]","[999, 1999]",0.4,00:23:13
Bose Average WC,Atomic_Size2_ParallelToSequence,500,"[1385, 1848]","[999, 1999]",0.5,00:19:51
Bose Average J,Atomic_Size2_ParallelToSequence,200,"[1386, 1938, 2415]","[999, 1999]",0.4,00:17:34
