Algorithm/Options,Log,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Zheng DBSCAN,Atomic_Size2_Swap,500,100.0,"[933.6, 1930.6]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_Swap,500,150.0,"[933.6, 1930.6]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_SerialMove,250,25.0,"[939.75, 1942.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_SerialMove,250,50.0,"[939.75, 1942.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_SerialMove,250,75.0,"[939.75, 1942.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_SerialRemoval,500,50.0,"[941.6666666666666, 1892.0, 1950.5]","[999, 1999]",0.8,00:00:03
Zheng DBSCAN,Atomic_Size2_SerialRemoval,500,100.0,"[941.6666666666666, 1931.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_SerialRemoval,500,150.0,"[941.6666666666666, 1931.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_Substitute,500,50.0,"[936.0, 1941.0]","[999, 1999]",1.0,00:00:04
Zheng DBSCAN,Atomic_Size2_Substitute,500,100.0,"[936.0, 1941.0]","[999, 1999]",1.0,00:00:04
Zheng DBSCAN,Atomic_Size2_Substitute,500,150.0,"[936.0, 1941.0]","[999, 1999]",1.0,00:00:04
Zheng DBSCAN,Atomic_Size2_SerialMove,500,50.0,"[939.75, 1942.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_SerialMove,500,100.0,"[939.75, 1942.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_SerialMove,500,150.0,"[939.75, 1942.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ConditionalToSequence,250,25.0,"[934.1428571428571, 1863.0, 1934.0]","[999, 1999]",0.8,00:00:03
Zheng DBSCAN,Atomic_Size2_ConditionalToSequence,250,50.0,"[934.1428571428571, 1925.125]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ConditionalToSequence,250,75.0,"[934.1428571428571, 1925.125]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_Frequency,100,10.0,"[159.71875, 255.93333333333334, 550.112676056338, 1044.009523809524, 1303.0135135135135, 1417.9655172413793, 1504.030303030303, 1661.75, 1944.9484536082475, 2196.4074074074074, 2475.3255813953488, 2728.6, 2860.4423076923076, 2951.785714285714, 2990.0]","[999, 1999]",0.2352941176470588,00:00:02
Zheng DBSCAN,Atomic_Size2_Frequency,100,20.0,[1483.4855735397607],"[999, 1999]",,00:00:02
Zheng DBSCAN,Atomic_Size2_Frequency,100,30.0,[1483.4855735397607],"[999, 1999]",,00:00:02
Zheng DBSCAN,Atomic_Size2_SerialMove,100,10.0,"[925.0, 954.5, 1928.5, 1955.5]","[999, 1999]",0.6666666666666666,00:00:03
Zheng DBSCAN,Atomic_Size2_SerialMove,100,20.0,"[925.0, 954.5, 1928.5, 1955.5]","[999, 1999]",0.6666666666666666,00:00:03
Zheng DBSCAN,Atomic_Size2_SerialMove,100,30.0,"[939.75, 1942.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelMove,250,25.0,"[886.5, 954.6666666666666, 1934.5]","[999, 1999]",0.8,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelMove,250,50.0,"[886.5, 954.6666666666666, 1934.5]","[999, 1999]",0.8,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelMove,250,75.0,"[927.4, 1934.5]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelToSequence,100,10.0,"[952.75, 1886.0, 1920.5, 1966.0]","[999, 1999]",0.6666666666666666,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelToSequence,100,20.0,"[952.75, 1886.0, 1920.5, 1966.0]","[999, 1999]",0.6666666666666666,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelToSequence,100,30.0,"[952.75, 1886.0, 1920.5, 1966.0]","[999, 1999]",0.6666666666666666,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelRemoval,250,25.0,"[935.25, 1942.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelRemoval,250,50.0,"[935.25, 1942.0]","[999, 1999]",1.0,00:00:03
