Algorithm,Log Source,Log,Min Adaptive Window,Max Adaptive Window,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,P-Value,MRID,Epsilon,Window Size,SW Step Size
Martjushev ADWIN WC,Ostovar,Composite_ROI_output_ROI_2,400.0,400.0,[],"[999, 1999]",,,00:05:04,0.4,,,,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,300.0,400.0,[1899],"[999, 1999]",0.6666666666666666,100.0,00:09:19,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,300.0,400.0,[],"[999, 1999]",,,00:04:52,0.4,,,,
Process Graph Metrics,Ostovar,Composite_IRO_output_IRO_5,200.0,400.0,"[956, 1985]","[999, 1999]",1.0,28.5,00:00:37,,,,,
Process Graph Metrics,Ostovar,Nested_OIR_output_OIR_5,400.0,400.0,[1059],"[999, 1999]",0.6666666666666666,60.0,00:02:08,,,,,
Process Graph Metrics,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval,300.0,400.0,"[1016, 2047]","[999, 1999]",1.0,32.5,00:00:23,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_RIO,400.0,700.0,[600],[499],1.0,101.0,00:00:00,,,,,
Earth Mover's Distance,Bose,bose_log,,,"[1194, 1722, 2394, 3596, 4220, 4800]","[1199, 2399, 3599, 4799]",0.8,3.5,00:11:37,,,,500.0,2.0
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_re,300.0,600.0,[464],[499],1.0,35.0,00:00:06,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_re,300.0,600.0,[],[499],,,00:00:04,0.4,,,,
Earth Mover's Distance,Ceravolo,sudden_trace_noise0_1000_cb,,,[448],[499],1.0,51.0,00:00:01,,,,300.0,2.0
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_IOR,400.0,500.0,[639],[499],1.0,140.0,00:00:02,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_RIO,400.0,500.0,[],[499],,,00:00:00,,,,,
Martjushev ADWIN J,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,300.0,600.0,[],"[999, 1999]",,,00:09:08,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,300.0,600.0,[],"[999, 1999]",,,00:05:03,0.4,,,,
Maaradji Runs,Ceravolo,sudden_trace_noise15_1000_IRO,,,[498],[499],1.0,1.0,00:00:16,,,,300.0,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_IRO,100.0,500.0,[564],[499],1.0,65.0,00:00:02,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_OIR,200.0,600.0,[479],[499],1.0,20.0,00:00:11,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_OIR,200.0,600.0,[],[499],,,00:00:06,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_IRO,100.0,400.0,[540],[499],1.0,41.0,00:00:00,,,,,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval,300.0,500.0,"[899, 1800]","[999, 1999]",1.0,149.5,00:05:18,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval,300.0,500.0,[],"[999, 1999]",,,00:02:46,0.4,,,,
Process Graph Metrics,Ostovar,Atomic_Skip_output_Skip,400.0,700.0,"[1187, 2225]","[999, 1999]",0.5,188.0,00:00:58,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_OIR,300.0,400.0,[449],[499],1.0,50.0,00:00:08,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_OIR,300.0,400.0,[],[499],,,00:00:04,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_IOR,300.0,600.0,[654],[499],1.0,155.0,00:00:00,,,,,
Martjushev ADWIN J,Ostovar,Composite_ORI_output_ORI,200.0,500.0,"[829, 1910]","[999, 1999]",1.0,129.5,00:09:00,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_ORI_output_ORI,200.0,500.0,[],"[999, 1999]",,,00:05:04,0.4,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,200.0,600.0,"[1027, 2032]","[999, 1999]",1.0,30.5,00:00:35,,,,,
Process Graph Metrics,Ostovar,Atomic_Swap_output_Swap,300.0,500.0,[],"[999, 1999]",,,00:00:13,,,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_pl,,,[],[499],,,00:00:00,,500.0,50.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_pl,,,[],[499],,,00:00:00,,500.0,100.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_pl,,,[],[499],,,00:00:00,,500.0,150.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_pl,,,[],[499],,,00:00:00,,500.0,200.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_pl,,,[],[499],,,00:00:00,,500.0,250.0,,
Process Graph Metrics,Ostovar,Atomic_Loop_output_Loop_5,200.0,600.0,[988],"[999, 1999]",0.6666666666666666,11.0,00:01:15,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_IOR,100.0,400.0,"[570, 945]",[499],0.6666666666666666,71.0,00:00:01,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_IOR,200.0,500.0,[979],[499],,,00:00:02,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_sw,300.0,700.0,[],[499],,,00:00:09,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_sw,300.0,700.0,[],[499],,,00:00:05,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_IOR,400.0,600.0,[720],[499],,,00:00:00,,,,,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence,100.0,600.0,"[961, 1975]","[999, 1999]",1.0,31.0,00:06:32,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence,100.0,600.0,[],"[999, 1999]",,,00:03:23,0.4,,,,
Process Graph Metrics,Ostovar,Composite_ORI_output_ORI_2,200.0,400.0,"[965, 2003]","[999, 1999]",1.0,19.0,00:00:41,,,,,
Martjushev ADWIN J,Ostovar,Atomic_Frequency_output_Frequency,400.0,500.0,[499],"[999, 1999]",,,00:02:36,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_Frequency_output_Frequency,400.0,500.0,[],"[999, 1999]",,,00:01:34,0.4,,,,
Martjushev ADWIN J,Ostovar,Nested_RIO_output_RIO_2,300.0,600.0,"[899, 1875]","[999, 1999]",1.0,112.0,00:12:11,0.4,,,,
Martjushev ADWIN WC,Ostovar,Nested_RIO_output_RIO_2,300.0,600.0,[],"[999, 1999]",,,00:08:25,0.4,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_5,400.0,400.0,[1029],"[999, 1999]",0.6666666666666666,30.0,00:01:59,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_rp,300.0,700.0,[586],[499],1.0,87.0,00:00:02,,,,,
Bose J,Ceravolo,sudden_trace_noise15_1000_ROI,,,[],[499],,,00:00:15,,,,400.0,2.0
Bose WC,Ceravolo,sudden_trace_noise15_1000_ROI,,,[],[499],,,00:00:13,,,,400.0,2.0
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_IOR,200.0,700.0,[750],[499],,,00:00:00,,,,,
Martjushev ADWIN J,Ostovar,Atomic_Skip_output_Skip_2,200.0,500.0,[899],"[999, 1999]",0.6666666666666666,100.0,00:07:38,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_Skip_output_Skip_2,200.0,500.0,[],"[999, 1999]",,,00:04:00,0.4,,,,
Process Graph Metrics,Ostovar,Atomic_Skip_output_Skip_5,200.0,600.0,"[1104, 2089]","[999, 1999]",1.0,97.5,00:00:41,,,,,
Martjushev ADWIN J,Ostovar,Composite_ROI_output_ROI_5,100.0,700.0,"[824, 2000]","[999, 1999]",1.0,88.0,00:08:47,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_ROI_output_ROI_5,100.0,700.0,[],"[999, 1999]",,,00:05:08,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_RIO,100.0,600.0,[648],[499],1.0,149.0,00:00:00,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_ROI,100.0,500.0,"[288, 548]",[499],0.6666666666666666,49.0,00:00:00,,,,,
Process Graph Metrics,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,300.0,600.0,[],"[999, 1999]",,,00:00:17,,,,,
Process Graph Metrics,Ostovar,Composite_IRO_output_IRO_2,100.0,600.0,[991],"[999, 1999]",0.6666666666666666,8.0,00:00:56,,,,,
Martjushev ADWIN J,Ostovar,Atomic_Swap_output_Swap_5,400.0,600.0,[],"[999, 1999]",,,00:08:08,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_Swap_output_Swap_5,400.0,600.0,[],"[999, 1999]",,,00:04:21,0.4,,,,
Earth Mover's Distance,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,,,"[942, 1948, 2702]","[999, 1999]",0.8,54.0,00:09:59,,,,100.0,2.0
Process Graph Metrics,Ostovar,Nested_OIR_output_OIR_2,400.0,600.0,[1050],"[999, 1999]",0.6666666666666666,51.0,00:00:12,,,,,
Bose J,Ceravolo,sudden_trace_noise5_1000_cp,,,[442],[499],1.0,57.0,00:00:25,,,,100.0,2.0
Bose WC,Ceravolo,sudden_trace_noise5_1000_cp,,,[438],[499],1.0,61.0,00:00:16,,,,100.0,2.0
Process Graph Metrics,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval,200.0,400.0,[1022],"[999, 1999]",0.6666666666666666,23.0,00:00:10,,,,,
Process Graph Metrics,Ostovar,Atomic_SerialRemoval_output_SerialRemoval,300.0,600.0,"[1000, 2140]","[999, 1999]",1.0,71.0,00:00:11,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_IRO,200.0,700.0,[379],[499],1.0,120.0,00:00:10,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_IRO,200.0,700.0,[],[499],,,00:00:06,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_IRO,400.0,400.0,[399],[499],1.0,100.0,00:00:06,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_IRO,400.0,400.0,[],[499],,,00:00:03,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cp,300.0,400.0,[1030],[499],,,00:00:36,,,,,
Earth Mover's Distance,Ceravolo,sudden_trace_noise0_1000_rp,,,[],[499],,,00:00:00,,,,600.0,2.0
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_lp,300.0,600.0,[483],[499],1.0,16.0,00:00:02,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_ROI,300.0,400.0,[359],[499],1.0,140.0,00:00:10,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_ROI,300.0,400.0,[],[499],,,00:00:06,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_IOR,400.0,700.0,[],[499],,,00:00:09,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_IOR,400.0,700.0,[],[499],,,00:00:04,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_OIR,200.0,400.0,[551],[499],1.0,52.0,00:00:07,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_re,100.0,700.0,[532],[499],1.0,33.0,00:00:03,,,,,
Bose J,Ostovar,Atomic_Skip_output_Skip,,,"[976, 1952]","[999, 1999]",1.0,35.0,00:16:26,,,,200.0,2.0
Bose WC,Ostovar,Atomic_Skip_output_Skip,,,"[516, 848, 1898]","[999, 1999]",0.8,126.0,00:13:19,,,,200.0,2.0
Process Graph Metrics,Ostovar,Composite_IRO_output_IRO_2,100.0,600.0,[999],"[999, 1999]",0.6666666666666666,0.0,00:01:13,,,,,
Martjushev ADWIN J,Ostovar,Composite_OIR_output_OIR_5,100.0,400.0,"[894, 1925]","[999, 1999]",1.0,89.5,00:09:36,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_OIR_output_OIR_5,100.0,400.0,[],"[999, 1999]",,,00:06:45,0.4,,,,
Process Graph Metrics,Ostovar,Nested_ORI_output_ORI_5,200.0,700.0,"[983, 2073]","[999, 1999]",1.0,45.0,00:00:43,,,,,
Process Graph Metrics,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_2,300.0,400.0,[2037],"[999, 1999]",0.6666666666666666,38.0,00:00:31,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_pm,200.0,400.0,[1060],[499],,,00:00:01,,,,,
Process Graph Metrics,Ostovar,Composite_RIO_output_RIO_5,200.0,700.0,"[1045, 2048, 3123]","[999, 1999]",0.8,47.5,00:02:04,,,,,
Process Graph Metrics,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,100.0,500.0,[1148],"[999, 1999]",0.6666666666666666,149.0,00:00:15,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_re,400.0,400.0,[399],[499],1.0,100.0,00:00:07,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_re,400.0,400.0,[],[499],,,00:00:04,0.4,,,,
Martjushev ADWIN J,Ostovar,Composite_OIR_output_OIR,300.0,600.0,"[926, 1960]","[999, 1999]",1.0,56.0,00:07:50,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_OIR_output_OIR,300.0,600.0,[],"[999, 1999]",,,00:05:01,0.4,,,,
Bose J,Ostovar,Atomic_Frequency_output_Frequency_5,,,"[952, 1494, 1900]","[999, 1999]",0.8,73.0,00:11:24,,,,200.0,2.0
Bose WC,Ostovar,Atomic_Frequency_output_Frequency_5,,,"[952, 1900]","[999, 1999]",1.0,73.0,00:12:03,,,,200.0,2.0
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_OIR,100.0,400.0,[491],[499],1.0,8.0,00:00:05,,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval,200.0,700.0,"[1030, 2052]","[999, 1999]",1.0,42.0,00:01:16,,,,,
Martjushev ADWIN J,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,100.0,600.0,"[919, 1820]","[999, 1999]",1.0,129.5,00:09:01,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,100.0,600.0,[],"[999, 1999]",,,00:05:42,0.4,,,,
Maaradji Runs,Ceravolo,sudden_trace_noise15_1000_RIO,,,[422],[499],1.0,77.0,00:00:09,,,,250.0,
Martjushev ADWIN J,Bose,bose_log,200.0,400.0,"[1119, 2365, 3623, 4804]","[1199, 2399, 3599, 4799]",1.0,35.75,00:00:59,0.4,,,,
Martjushev ADWIN WC,Bose,bose_log,200.0,400.0,[],"[1199, 2399, 3599, 4799]",,,00:00:50,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_pm,300.0,700.0,[1260],[499],,,00:00:36,,,,,
Process Graph Metrics,Ostovar,Composite_ORI_output_ORI,200.0,500.0,"[953, 1963]","[999, 1999]",1.0,41.0,00:00:34,,,,,
Earth Mover's Distance,Ostovar,Composite_ROI_output_ROI,,,"[950, 1940]","[999, 1999]",1.0,54.0,00:54:15,,,,600.0,2.0
Process Graph Metrics,Ostovar,Atomic_Loop_output_Loop_2,300.0,400.0,"[983, 2131]","[999, 1999]",1.0,74.0,00:00:17,,,,,
Bose J,Ceravolo,sudden_trace_noise5_1000_pl,,,[],[499],,,00:00:08,,,,500.0,2.0
Bose WC,Ceravolo,sudden_trace_noise5_1000_pl,,,[],[499],,,00:00:04,,,,500.0,2.0
Martjushev ADWIN J,Ostovar,Nested_ROI_output_ROI_2,400.0,400.0,[1949],"[999, 1999]",0.6666666666666666,50.0,00:07:34,0.4,,,,
Martjushev ADWIN WC,Ostovar,Nested_ROI_output_ROI_2,400.0,400.0,[],"[999, 1999]",,,00:03:47,0.4,,,,
Process Graph Metrics,Ostovar,Nested_IRO_output_IRO_5,100.0,600.0,"[912, 1916]","[999, 1999]",1.0,85.0,00:00:33,,,,,
Process Graph Metrics,Ostovar,Atomic_Swap_output_Swap,400.0,600.0,[],"[999, 1999]",,,00:00:14,,,,,
Martjushev ADWIN J,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval,400.0,600.0,"[899, 1920]","[999, 1999]",1.0,89.5,00:04:54,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval,400.0,600.0,[],"[999, 1999]",,,00:03:25,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_pm,100.0,500.0,[499],[499],1.0,0.0,00:00:08,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_pm,100.0,500.0,[],[499],,,00:00:04,0.4,,,,
Process Graph Metrics,Ostovar,Atomic_Substitute_output_Substitute_5,200.0,400.0,"[980, 1996]","[999, 1999]",1.0,11.0,00:00:15,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_IRO,400.0,600.0,[600],[499],1.0,101.0,00:00:00,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_cf,100.0,700.0,[749],[499],,,00:00:11,,,,,
Process Graph Metrics,Ostovar,Composite_IRO_output_IRO_2,400.0,400.0,"[982, 2130]","[999, 1999]",1.0,74.0,00:00:15,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_cp,300.0,700.0,[454],[499],1.0,45.0,00:00:06,,,,,
Maaradji Runs,Ceravolo,sudden_trace_noise15_1000_cf,,,[444],[499],1.0,55.0,00:00:10,,,,100.0,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_re,400.0,700.0,[399],[499],1.0,100.0,00:00:06,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_re,400.0,700.0,[],[499],,,00:00:03,0.4,,,,
Martjushev ADWIN J,Ostovar,Atomic_Swap_output_Swap_2,100.0,400.0,[],"[999, 1999]",,,00:07:48,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_Swap_output_Swap_2,100.0,400.0,[],"[999, 1999]",,,00:04:23,0.4,,,,
Martjushev ADWIN J,Ostovar,Nested_IOR_output_IOR_2,100.0,700.0,"[659, 1760]","[999, 1999]",,,00:12:46,0.4,,,,
Martjushev ADWIN WC,Ostovar,Nested_IOR_output_IOR_2,100.0,700.0,[],"[999, 1999]",,,00:07:11,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_RIO,100.0,400.0,[],[499],,,00:00:07,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_RIO,100.0,400.0,[],[499],,,00:00:04,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_RIO,200.0,600.0,[],[499],,,00:00:01,,,,,
Process Graph Metrics,Ostovar,Composite_IOR_output_IOR_2,300.0,500.0,"[1019, 2069]","[999, 1999]",1.0,45.0,00:00:30,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_pl,100.0,600.0,[],[499],,,00:00:08,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_pl,100.0,600.0,[],[499],,,00:00:03,0.4,,,,
Martjushev ADWIN J,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,400.0,600.0,[],"[999, 1999]",,,00:09:04,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,400.0,600.0,[],"[999, 1999]",,,00:05:02,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_re,200.0,500.0,[522],[499],1.0,23.0,00:00:06,,,,,
Martjushev ADWIN J,Ostovar,Nested_IOR_output_IOR,400.0,600.0,"[899, 1920]","[999, 1999]",1.0,89.5,00:10:01,0.4,,,,
Martjushev ADWIN WC,Ostovar,Nested_IOR_output_IOR,400.0,600.0,[],"[999, 1999]",,,00:06:27,0.4,,,,
Martjushev ADWIN J,Ostovar,Nested_IOR_output_IOR_2,400.0,700.0,"[659, 1760]","[999, 1999]",,,00:11:29,0.4,,,,
Martjushev ADWIN WC,Ostovar,Nested_IOR_output_IOR_2,400.0,700.0,[],"[999, 1999]",,,00:08:43,0.4,,,,
Process Graph Metrics,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_5,100.0,600.0,"[1050, 2100]","[999, 1999]",1.0,76.0,00:00:12,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_ROI,100.0,500.0,[487],[499],1.0,12.0,00:00:01,,,,,
Process Graph Metrics,Ostovar,Nested_IRO_output_IRO_2,300.0,700.0,"[1016, 1992]","[999, 1999]",1.0,12.0,00:01:28,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_rp,300.0,600.0,[552],[499],1.0,53.0,00:00:01,,,,,
Process Graph Metrics,Ostovar,Composite_ORI_output_ORI_5,300.0,700.0,"[987, 1999]","[999, 1999]",1.0,6.0,00:03:29,,,,,
Martjushev ADWIN J,Ostovar,Atomic_Skip_output_Skip,300.0,700.0,"[959, 2000]","[999, 1999]",1.0,20.5,00:06:29,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_Skip_output_Skip,300.0,700.0,[],"[999, 1999]",,,00:03:33,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_cf,400.0,600.0,[599],[499],1.0,100.0,00:00:06,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_cf,400.0,600.0,[],[499],,,00:00:03,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_pl,400.0,400.0,[],[499],,,00:00:06,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_pl,400.0,400.0,[],[499],,,00:00:04,0.4,,,,
Maaradji Runs,Ceravolo,sudden_trace_noise20_1000_cf,,,[416],[499],1.0,83.0,00:00:07,,,,250.0,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_pm,400.0,400.0,[1060],[499],,,00:00:00,,,,,
Bose J,Ceravolo,sudden_trace_noise20_1000_OIR,,,[],[499],,,00:00:15,,,,400.0,2.0
Bose WC,Ceravolo,sudden_trace_noise20_1000_OIR,,,[],[499],,,00:00:12,,,,400.0,2.0
Process Graph Metrics,Ostovar,Atomic_Skip_output_Skip,100.0,700.0,"[1136, 2104]","[999, 1999]",1.0,121.0,00:01:24,,,,,
Process Graph Metrics,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_5,200.0,600.0,"[1005, 2074]","[999, 1999]",1.0,40.5,00:00:15,,,,,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_2,100.0,600.0,[],"[999, 1999]",,,00:07:18,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_2,100.0,600.0,[],"[999, 1999]",,,00:03:58,0.4,,,,
Process Graph Metrics,Ostovar,Composite_IOR_output_IOR,400.0,700.0,"[1089, 2159]","[999, 1999]",1.0,125.0,00:01:13,,,,,
Bose J,Ceravolo,sudden_trace_noise10_1000_sw,,,[],[499],,,00:00:24,,,,100.0,2.0
Bose WC,Ceravolo,sudden_trace_noise10_1000_sw,,,[],[499],,,00:00:20,,,,100.0,2.0
Process Graph Metrics,Ostovar,Composite_IRO_output_IRO_5,400.0,600.0,"[1015, 2073]","[999, 1999]",1.0,45.0,00:01:19,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_pl,100.0,400.0,[],[499],,,00:00:01,,,,,
Martjushev ADWIN J,Bose,bose_log,100.0,500.0,"[1299, 2350, 3626, 4814]","[1199, 2399, 3599, 4799]",1.0,47.75,00:00:49,0.4,,,,
Martjushev ADWIN WC,Bose,bose_log,100.0,500.0,[],"[1199, 2399, 3599, 4799]",,,00:00:27,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_pl,300.0,400.0,[],[499],,,00:00:08,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_pl,300.0,400.0,[],[499],,,00:00:04,0.4,,,,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval,100.0,400.0,[1899],"[999, 1999]",0.6666666666666666,100.0,00:05:40,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval,100.0,400.0,[],"[999, 1999]",,,00:03:11,0.4,,,,
Maaradji Runs,Ostovar,Composite_IRO_output_IRO,,,[],"[999, 1999]",,,00:11:32,,,,100.0,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_cb,200.0,700.0,[449],[499],1.0,50.0,00:00:06,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_cb,200.0,700.0,[],[499],,,00:00:03,0.4,,,,
Martjushev ADWIN J,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_5,300.0,500.0,[909],"[999, 1999]",0.6666666666666666,90.0,00:07:48,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_5,300.0,500.0,[],"[999, 1999]",,,00:04:36,0.4,,,,
Process Graph Metrics,Ostovar,Atomic_SerialMove_output_SerialMove_5,400.0,400.0,[965],"[999, 1999]",0.6666666666666666,34.0,00:00:23,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_cb,400.0,400.0,[],[499],,,00:00:05,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_cb,400.0,400.0,[],[499],,,00:00:02,0.4,,,,
Bose J,Ostovar,Composite_IRO_output_IRO_2,,,"[844, 1950]","[999, 1999]",1.0,102.0,00:28:32,,,,400.0,2.0
Bose WC,Ostovar,Composite_IRO_output_IRO_2,,,"[984, 2042]","[999, 1999]",1.0,29.0,00:30:33,,,,400.0,2.0
Process Graph Metrics,Bose,bose_log,300.0,700.0,"[1353, 3736, 4909]","[1199, 2399, 3599, 4799]",0.8571428571428571,133.66666666666666,00:01:12,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_OIR,100.0,500.0,[551],[499],1.0,52.0,00:00:07,,,,,
Bose J,Ceravolo,sudden_trace_noise5_1000_cf,,,[442],[499],1.0,57.0,00:00:19,,,,300.0,2.0
Bose WC,Ceravolo,sudden_trace_noise5_1000_cf,,,[],[499],,,00:00:15,,,,300.0,2.0
Maaradji Runs,Ceravolo,sudden_trace_noise20_1000_IOR,,,[498],[499],1.0,1.0,00:00:12,,,,300.0,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_pl,200.0,400.0,[],[499],,,00:00:01,,,,,
Process Graph Metrics,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,100.0,600.0,"[997, 2074]","[999, 1999]",1.0,38.5,00:00:22,,,,,
Process Graph Metrics,Ostovar,Nested_ORI_output_ORI,200.0,400.0,"[1004, 2044]","[999, 1999]",1.0,25.0,00:00:21,,,,,
