Algorithm,Log Source,Log,Min Adaptive Window,Max Adaptive Window,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,P-Value,MRID,Epsilon,Window Size,SW Step Size
Martjushev ADWIN J,Ostovar,Composite_IOR_output_IOR_2,100.0,400.0,[1899],"[999, 1999]",0.6666666666666666,100.0,00:06:49,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_IOR_output_IOR_2,100.0,400.0,[],"[999, 1999]",,,00:03:39,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_sw,300.0,600.0,[],[499],,,00:00:07,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_sw,300.0,600.0,[],[499],,,00:00:04,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_OIR,400.0,400.0,[399],[499],1.0,100.0,00:00:08,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_OIR,400.0,400.0,[],[499],,,00:00:04,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_pm,400.0,700.0,[1181],[499],,,00:00:56,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_IOR,300.0,500.0,[655],[499],1.0,156.0,00:00:01,,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_2,400.0,500.0,[1011],"[999, 1999]",0.6666666666666666,12.0,00:00:27,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_re,200.0,600.0,[521],[499],1.0,22.0,00:00:05,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_cd,400.0,600.0,[],[499],,,00:00:07,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_cd,400.0,600.0,[],[499],,,00:00:03,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_pl,100.0,500.0,[],[499],,,00:00:01,,,,,
Martjushev ADWIN J,Ostovar,Atomic_SerialMove_output_SerialMove_5,100.0,700.0,[],"[999, 1999]",,,00:09:02,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_SerialMove_output_SerialMove_5,100.0,700.0,[],"[999, 1999]",,,00:04:34,0.4,,,,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalMove_output_ConditionalMove,300.0,600.0,"[854, 1875]","[999, 1999]",1.0,134.5,00:08:17,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalMove_output_ConditionalMove,300.0,600.0,[],"[999, 1999]",,,00:05:47,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_cp,400.0,600.0,[399],[499],1.0,100.0,00:00:07,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_cp,400.0,600.0,[],[499],,,00:00:04,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_rp,400.0,500.0,[],[499],,,00:00:06,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_rp,400.0,500.0,[],[499],,,00:00:04,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_pl,300.0,400.0,[],[499],,,00:00:01,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_lp,200.0,500.0,[475],[499],1.0,24.0,00:00:02,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_OIR,300.0,700.0,[521],[499],1.0,22.0,00:00:04,,,,,
Bose J,Ceravolo,sudden_trace_noise20_1000_sw,,,[],[499],,,00:00:22,,,,100.0,2.0
Bose WC,Ceravolo,sudden_trace_noise20_1000_sw,,,[],[499],,,00:00:21,,,,100.0,2.0
Martjushev ADWIN J,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_2,300.0,500.0,[1949],"[999, 1999]",0.6666666666666666,50.0,00:08:13,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_2,300.0,500.0,[],"[999, 1999]",,,00:05:23,0.4,,,,
Martjushev ADWIN J,Ostovar,Nested_IRO_output_IRO_5,100.0,500.0,"[949, 1975]","[999, 1999]",1.0,37.0,00:13:48,0.4,,,,
Martjushev ADWIN WC,Ostovar,Nested_IRO_output_IRO_5,100.0,500.0,[],"[999, 1999]",,,00:07:19,0.4,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalMove_output_ConditionalMove,300.0,600.0,[1037],"[999, 1999]",0.6666666666666666,38.0,00:00:25,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_IRO,300.0,400.0,[564],[499],1.0,65.0,00:00:02,,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence,400.0,500.0,[1050],"[999, 1999]",0.6666666666666666,51.0,00:00:30,,,,,
Process Graph Metrics,Ostovar,Nested_IOR_output_IOR_5,200.0,400.0,"[995, 1545, 1784, 1975]","[999, 1999]",0.6666666666666666,14.0,00:01:07,,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,100.0,500.0,"[1052, 2019]","[999, 1999]",1.0,36.5,00:00:38,,,,,
Martjushev ADWIN J,Ostovar,Nested_ORI_output_ORI,300.0,600.0,"[944, 1920]","[999, 1999]",1.0,67.0,00:09:36,0.4,,,,
Martjushev ADWIN WC,Ostovar,Nested_ORI_output_ORI,300.0,600.0,[],"[999, 1999]",,,00:05:22,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_cd,300.0,700.0,[],[499],,,00:00:07,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_cd,300.0,700.0,[],[499],,,00:00:03,0.4,,,,
Zheng DBSCAN,Ostovar,Composite_ROI_output_ROI_2,,,[1481.9715639810427],"[999, 1999]",,,00:00:10,,800.0,80.0,,
Zheng DBSCAN,Ostovar,Composite_ROI_output_ROI_2,,,[1481.9715639810427],"[999, 1999]",,,00:00:10,,800.0,160.0,,
Zheng DBSCAN,Ostovar,Composite_ROI_output_ROI_2,,,[1481.9715639810427],"[999, 1999]",,,00:00:10,,800.0,240.0,,
Zheng DBSCAN,Ostovar,Composite_ROI_output_ROI_2,,,[1481.9715639810427],"[999, 1999]",,,00:00:10,,800.0,320.0,,
Zheng DBSCAN,Ostovar,Composite_ROI_output_ROI_2,,,[1481.9715639810427],"[999, 1999]",,,00:00:10,,800.0,400.0,,
Process Graph Metrics,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_2,100.0,500.0,"[1148, 2025]","[999, 1999]",1.0,87.5,00:00:11,,,,,
Process Graph Metrics,Ostovar,Nested_RIO_output_RIO,400.0,600.0,"[1057, 1921]","[999, 1999]",1.0,68.0,00:01:29,,,,,
Bose J,Ceravolo,sudden_trace_noise15_1000_re,,,[],[499],,,00:00:06,,,,600.0,2.0
Bose WC,Ceravolo,sudden_trace_noise15_1000_re,,,[],[499],,,00:00:03,,,,600.0,2.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_pl,,,[],[499],,,00:00:00,,800.0,80.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_pl,,,[],[499],,,00:00:00,,800.0,160.0,,
